Docgroup,Reatime,Age,Gender,Docyear,Doctype,Distance,Finter1,Finter2,Finter3,Finter4,Ftru1,Ftru2,Ftru3,Fsup1,Fsup2,Fsup3,Fsup4,It,Sinter1,Sinter2,Sinter3,Sinter4,Stru1,Stru2,Stru3,Ssup1,Ssup2,Ssup3,Ssup4,Icc1,Icc2,Icc3,Ico1,Ico2,Ico3,Icp1,Icp2,Icp3,Ici1,Ici2,Ici3,Finter,Ftru,Fsup,Sinter,Stru,Ssup,Icc,Ico,Ici,Qf,Qs,Icp,Icom
2,3,2,1,6,2,-3,7,7,7,7,7,7,7,7,7,7,6,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7,7,7,7,5,7,5,5,6,7,5,7,7,7,6.75,-3,-3,-3,7,6.33333333333333,6.33333333333333,6.91666666666667,-3,5.33333333333333,6.25
1,9,3,2,6,1,-3,3,2,2,6,6,5,6,5,6,3,3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,4,4,5,5,4,4,4,4,4,4,3.25,5.66666666666667,4.25,-3,-3,-3,4.33333333333333,4.66666666666667,4,4.38888888888889,-3,4,4.25
3,9,3,1,6,2,-3,6,4,5,5,4,5,5,4,5,5,5,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,4,5,6,4,6,4,5,4,4,5,4,5,4.66666666666667,4.75,-3,-3,-3,4.66666666666667,5.33333333333333,4.33333333333333,4.80555555555556,-3,4.33333333333333,4.66666666666667
2,7,3,1,6,2,-3,6,6,7,6,7,6,7,6,7,7,7,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,6,6,5,7,7,5,6,6,7,6,6,6.25,6.66666666666667,6.75,-3,-3,-3,5.66666666666667,6.33333333333333,6.33333333333333,6.55555555555556,-3,5.66666666666667,6
4,6,3,2,6,2,-3,7,6,6,6,7,6,7,7,7,7,7,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,6,6,6,6,5,6,6,6,5,6,5,6.25,6.66666666666667,7,-3,-3,-3,5.66666666666667,5.66666666666667,5.33333333333333,6.63888888888889,-3,6,5.66666666666667
2,2,3,2,6,1,-3,6,6,7,6,6,6,6,6,6,7,6,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,6,6,6,6,6,5,7,6,7,6,6,5,6.25,6,6.25,-3,-3,-3,6,5.66666666666667,5.66666666666667,6.16666666666667,-3,6.66666666666667,6
2,5,3,1,6,2,-3,6,5,6,5,6,5,5,5,6,4,6,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,6,5,6,5,5,6,5,6,4,5,5.5,5.33333333333333,5.25,-3,-3,-3,5.33333333333333,5.33333333333333,5,5.36111111111111,-3,5.33333333333333,5.25
2,2,3,1,6,2,-3,6,5,6,5,6,4,5,5,6,4,6,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,6,5,6,5,5,6,5,6,4,5,5.5,5,5.25,-3,-3,-3,5.33333333333333,5.33333333333333,5,5.25,-3,5.33333333333333,5.25
1,8,3,1,6,3,5,6,6,6,6,6,4,4,5,4,4,4,2,7,7,7,7,7,7,7,7,5,6,7,6,6,6,7,7,7,7,6,6,6,6,6,6,4.66666666666667,4.25,7,7,6.25,6,7,6,4.97222222222222,6.75,6.33333333333333,6.33333333333333
3,8,3,2,6,2,4,6,6,6,5,6,6,6,6,7,7,7,2,5,5,5,5,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,5,4,5,5,5.75,6,6.75,5,5,5,5.33333333333333,4.66666666666667,4.66666666666667,6.16666666666667,5,5,4.91666666666667
3,8,3,1,6,3,4,3,3,3,5,4,4,4,4,5,5,4,2,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3.5,4,4.5,3,4,3.25,4,4,4,4,3.41666666666667,4,4
4,4,3,2,6,2,4,7,7,7,3,3,3,2,3,3,3,6,2,2,2,2,6,6,5,6,6,6,3,3,5,6,5,6,6,6,5,5,5,5,5,4,6,2.66666666666667,3.75,3,5.66666666666667,4.5,5.33333333333333,6,4.66666666666667,4.13888888888889,4.38888888888889,5,5.25
2,4,3,1,6,3,5,5,7,6,5,6,5,7,5,6,5,6,2,6,7,6,4,6,6,6,5,5,6,5,6,6,6,5,6,5,6,6,5,5,6,5,5.75,6,5.5,5.75,6,5.25,6,5.33333333333333,5.33333333333333,5.75,5.66666666666667,5.66666666666667,5.58333333333333
2,4,3,1,6,2,5,6,7,6,7,6,7,6,7,5,6,7,2,6,7,5,6,7,5,7,6,6,7,6,6,6,6,7,6,5,5,6,7,5,7,7,6.5,6.33333333333333,6.25,6,6.33333333333333,6.25,6,6,6.33333333333333,6.36111111111111,6.19444444444444,6,6.08333333333333
